,age,height_cm,weight_kgs,positions,overall_rating,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,release_clause_euro,club_rating,club_position,national_team,national_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,interceptions,vision,penalties,marking,standing_tackle,sliding_tackle,tags
6017,19,172.72,64.9,"RM,LM",56,190000.0,1000.0,Right,1,3,2,Medium/ Medium,Normal,480000.0,69.0,RES,0,,50,47,41,52,48,56,47,35,45,54,78,77,72,40,76,50,65,71,42,41,25,47,52,22,28,27,0.0
6018,19,170.18,68.0,"LM,CAM,RM",57,220000.0,2000.0,Right,1,3,2,Medium/ Medium,Normal,512000.0,74.0,RES,0,,41,56,50,53,45,61,50,33,46,53,77,81,52,45,87,52,62,50,42,51,19,61,57,15,15,16,0.0
6019,19,175.26,69.9,"CM,CDM",57,210000.0,1000.0,Right,1,3,2,Medium/ Medium,Normal,572000.0,77.0,RES,0,,46,32,54,64,36,55,45,53,61,52,62,61,56,54,68,56,58,60,47,39,56,54,45,54,64,62,0.0
6020,20,182.88,74.8,LB,57,200000.0,1000.0,Left,1,3,2,Medium/ Medium,Lean,415000.0,68.0,LB,0,,46,34,45,36,28,58,34,30,28,38,68,67,56,55,64,32,64,69,63,31,59,41,35,56,61,58,0.0
6021,22,181.0,72.1,"CDM,RB",57,150000.0,1000.0,Right,1,2,2,High/ Medium,Lean,248000.0,67.0,SUB,0,,50,31,58,59,28,58,25,36,44,63,67,69,61,47,64,55,69,77,62,41,49,46,42,58,59,51,0.0
6022,21,182.88,79.8,"CB,RB",57,210000.0,1000.0,Right,1,3,2,Medium/ Medium,Normal,425000.0,69.0,SUB,0,,49,22,59,42,27,34,21,27,46,42,69,76,66,53,64,38,72,61,60,36,60,32,44,60,55,58,0.0
6023,19,190.5,74.8,CB,57,200000.0,1000.0,Right,1,2,2,Low/ High,Lean,385000.0,70.0,RES,0,,27,19,67,38,25,23,27,24,32,31,52,57,46,41,53,28,70,55,64,17,52,28,25,52,65,52,0.0
6024,23,175.26,68.9,LB,57,140000.0,1000.0,Left,1,3,2,Medium/ Medium,Normal,273000.0,64.0,SUB,0,,50,25,50,40,22,56,35,30,26,45,75,75,55,49,39,48,55,64,52,30,54,39,35,56,58,57,0.0
6025,20,175.26,63.0,RW,57,220000.0,2000.0,Right,1,3,2,Medium/ High,Lean,512000.0,72.0,SUB,0,,57,61,48,54,55,68,45,48,47,66,42,49,58,57,60,71,48,31,35,46,23,46,58,26,30,27,0.0
6026,21,190.5,73.9,CDM,57,140000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,238000.0,71.0,RES,0,,42,26,55,62,28,45,34,37,57,53,59,61,54,57,58,53,60,55,52,32,50,38,45,57,57,59,0.0
6027,19,178.5,69.9,CM,57,180000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,338000.0,64.0,SUB,0,,38,42,47,58,43,55,39,43,55,58,69,68,60,57,70,49,59,60,60,43,55,56,40,53,51,49,0.0
6028,21,187.96,79.8,CB,57,180000.0,1000.0,Right,1,2,2,Medium/ Medium,Lean,338000.0,63.0,LCB,0,,36,22,56,54,34,30,28,30,38,48,55,60,36,45,53,44,44,62,72,26,50,31,37,54,62,58,0.0
6029,20,170.18,64.9,"RB,RWB",57,200000.0,2000.0,Right,1,3,2,Medium/ Medium,Lean,,66.0,RWB,0,,54,22,46,55,19,56,30,29,50,55,72,73,59,50,80,27,62,62,52,23,52,49,35,51,55,52,0.0
6030,22,175.26,66.2,"CM,RM,LM",57,170000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,349000.0,68.0,RES,0,,49,50,48,64,52,54,60,50,59,58,65,61,65,56,69,61,54,37,49,50,51,56,56,55,53,48,0.0
6031,19,175.26,68.0,"LM,CAM",57,190000.0,3000.0,Right,1,3,2,Medium/ Medium,Lean,480000.0,77.0,RES,0,,49,49,37,54,46,60,50,46,50,55,75,74,77,47,76,55,59,58,38,47,20,54,53,25,29,27,0.0
6032,24,170.18,73.0,"RM,LM,ST,CAM",57,140000.0,1000.0,Right,1,2,2,Medium/ Medium,Normal,256000.0,60.0,RES,0,,45,59,55,58,56,56,59,40,50,56,79,75,80,49,66,64,75,51,61,54,16,46,60,30,19,14,0.0
6033,21,175.26,72.1,"CM,LM",57,170000.0,1000.0,Right,1,4,2,High/ Medium,Normal,247000.0,65.0,LM,0,,45,41,48,59,27,59,37,38,59,56,74,70,54,60,72,48,46,67,62,32,48,55,35,50,45,32,0.0
6034,21,185.42,77.1,RB,57,140000.0,1000.0,Right,1,4,2,Medium/ Medium,Lean,203000.0,65.0,SUB,0,,56,33,39,51,30,55,37,44,43,59,67,66,65,58,66,35,61,66,45,26,51,38,35,50,57,55,0.0
6037,18,178.5,68.9,"CB,RB",57,190000.0,1000.0,Right,1,3,2,Low/ Medium,Lean,356000.0,67.0,RES,0,,37,27,58,42,42,35,41,27,41,38,66,67,49,55,70,53,76,63,59,41,51,24,33,58,60,54,0.0
6038,20,175.26,63.0,CM,57,180000.0,1000.0,Right,1,3,2,High/ Medium,Lean,351000.0,65.0,SUB,0,,48,45,48,58,43,57,42,41,57,59,70,66,74,53,80,59,71,69,55,48,42,58,52,40,45,42,0.0
6039,21,182.88,77.1,ST,57,190000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,276000.0,67.0,RES,0,,36,54,55,45,52,54,41,32,29,56,75,77,58,50,64,56,59,51,58,57,34,50,55,27,17,16,0.0
6040,18,172.72,64.9,RW,57,230000.0,1000.0,Right,1,3,3,High/ Low,Lean,610000.0,68.0,SUB,0,,51,67,44,47,54,64,54,45,41,63,65,67,59,43,82,68,49,46,40,44,25,46,63,21,32,30,0.0
6041,17,185.42,78.0,ST,57,230000.0,3000.0,Right,1,3,2,Medium/ Medium,Normal,667000.0,72.0,RES,0,,30,62,58,40,37,51,35,29,28,53,55,58,54,52,56,59,68,51,81,50,15,46,64,20,16,19,0.0
6042,21,185.42,76.2,CM,57,180000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,261000.0,64.0,SUB,0,,34,30,48,58,30,55,30,38,53,58,54,61,62,62,69,52,59,78,66,36,52,55,39,59,59,49,0.0
6048,17,175.26,69.9,"RM,LM",57,180000.0,1000.0,Right,1,2,2,Medium/ Medium,Lean,356000.0,65.0,SUB,0,,46,39,44,56,43,62,53,42,62,60,70,68,61,52,75,56,50,55,47,39,26,52,47,39,40,48,0.0
6049,30,185.42,78.9,"RM,CAM,ST",57,100000.0,1000.0,Right,1,3,2,Medium/ Medium,Normal,125000.0,64.0,RES,0,,48,54,66,58,46,58,31,20,53,57,58,59,47,48,52,52,73,68,80,55,23,53,54,31,32,29,0.0
6050,18,175.26,64.9,"CM,CDM",57,210000.0,4000.0,Right,1,3,2,Medium/ Medium,Lean,530000.0,79.0,RES,0,,44,35,38,62,39,57,45,38,63,60,65,60,67,45,72,48,58,58,45,46,41,60,37,50,49,47,0.0
6051,21,182.88,68.9,ST,57,190000.0,6000.0,Right,1,2,2,High/ Low,Lean,,68.0,RES,0,,35,57,60,42,40,59,42,33,33,49,68,68,62,52,55,60,70,59,57,48,16,47,63,28,18,18,0.0
6052,19,181.0,73.9,LB,57,190000.0,2000.0,Left,1,3,2,Medium/ Medium,Lean,461000.0,73.0,RES,0,,55,29,49,54,30,53,37,31,42,47,68,63,55,48,68,38,63,60,48,25,55,39,35,53,58,60,0.0
6053,25,178.5,73.0,"LM,CM",57,130000.0,1000.0,Left,1,3,2,Medium/ Medium,Lean,237000.0,61.0,SUB,0,,55,48,37,57,38,58,48,30,53,57,71,69,88,46,71,41,55,64,53,44,36,51,46,44,22,25,0.0
6055,23,178.5,79.8,"CB,CDM",57,140000.0,2000.0,Right,1,2,2,Low/ Medium,Lean,259000.0,67.0,SUB,0,,36,23,61,41,28,31,31,22,36,42,52,52,47,50,68,35,73,53,66,34,53,27,34,56,58,58,0.0
6056,21,172.72,62.1,LB,57,160000.0,3000.0,Left,1,3,2,Medium/ Medium,Normal,304000.0,72.0,RES,0,,55,28,42,49,23,53,32,27,47,56,77,79,73,49,85,20,72,59,66,29,52,45,52,53,54,55,0.0
6058,23,182.88,77.1,CB,57,140000.0,1000.0,Right,1,3,2,Medium/ Medium,Normal,273000.0,65.0,SUB,0,,31,26,53,32,26,21,30,25,28,31,42,44,51,52,61,35,72,57,69,26,54,31,41,55,62,64,0.0
6059,21,178.5,69.9,CM,57,150000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,218000.0,62.0,SUB,0,,56,48,53,57,49,54,48,43,57,56,69,69,64,57,60,54,68,58,58,56,59,55,43,45,58,54,0.0
6060,21,172.72,77.1,LW,57,170000.0,1000.0,Right,1,3,3,Medium/ Low,Normal,289000.0,69.0,RES,0,,52,54,36,48,46,69,49,49,42,61,67,69,63,37,72,64,44,40,53,45,26,51,53,25,27,22,0.0
6061,19,172.72,73.9,CM,57,180000.0,2000.0,Right,1,2,2,Medium/ Medium,Normal,419000.0,72.0,RES,0,,40,38,55,62,35,54,53,45,59,60,63,60,72,58,75,51,59,61,52,47,53,54,51,46,61,58,0.0
6062,28,185.42,76.2,"CB,RB",57,100000.0,1000.0,Right,1,3,2,Low/ Medium,Normal,143000.0,67.0,SUB,0,,26,21,55,48,22,22,20,25,42,48,54,56,41,48,56,35,69,55,70,20,46,31,36,55,65,57,0.0
6063,19,170.18,68.0,RB,57,200000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,455000.0,66.0,RES,0,,48,38,44,48,29,50,33,38,41,49,73,75,68,53,74,36,58,67,59,31,52,44,42,51,55,56,0.0
6064,20,170.18,62.1,RM,57,170000.0,3000.0,Right,1,2,3,Medium/ High,Lean,357000.0,77.0,RES,0,,50,56,44,52,51,58,46,42,46,57,78,76,73,41,73,53,65,61,41,48,18,51,53,31,29,36,0.0
6065,21,175.26,76.2,"CDM,RB",57,180000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,428000.0,64.0,SUB,0,,41,45,47,64,41,59,33,39,58,58,63,54,61,49,54,60,60,74,51,45,37,50,47,57,59,56,0.0
6066,18,181.0,72.1,"CDM,CM",57,180000.0,2000.0,Left,1,3,2,Medium/ Medium,Lean,455000.0,70.0,SUB,0,,48,51,39,60,45,53,53,46,66,58,62,65,63,54,66,58,57,55,56,62,50,64,54,50,53,48,0.0
6067,21,181.0,79.8,CM,57,150000.0,1000.0,Right,1,2,2,Medium/ High,Normal,218000.0,67.0,SUB,0,,43,40,53,58,44,53,48,35,55,60,57,57,62,58,58,56,73,63,68,48,63,56,38,58,56,47,0.0
6068,26,187.96,84.8,"RB,CB",57,110000.0,1000.0,Right,1,2,2,Low/ High,Normal,146000.0,64.0,RES,0,,48,23,53,50,24,52,27,33,38,49,60,62,59,56,49,54,79,69,80,29,57,43,36,58,60,53,0.0
6069,24,187.96,79.8,ST,57,140000.0,1000.0,Right,1,2,2,Medium/ Low,Normal,214000.0,62.0,SUB,0,,41,61,60,46,51,45,41,32,35,50,55,54,49,56,50,64,53,54,73,59,16,47,57,31,21,17,0.0
6070,20,178.5,68.9,"LW,RW",57,160000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,248000.0,67.0,SUB,0,,43,57,59,55,36,59,38,32,54,57,68,69,72,57,65,56,69,68,62,55,11,55,55,25,22,19,0.0
6071,20,182.88,82.1,CB,57,210000.0,1000.0,Left,1,3,2,Medium/ Medium,Lean,394000.0,63.0,RES,0,,26,16,49,59,31,27,24,22,50,38,67,66,60,45,64,34,72,67,70,27,52,29,33,53,58,55,0.0
6072,25,175.26,67.1,CDM,57,120000.0,2000.0,Right,1,3,2,Medium/ Medium,Lean,222000.0,66.0,RES,0,,38,31,48,59,34,44,45,50,52,47,57,62,66,45,84,57,91,62,64,30,52,42,41,61,60,54,0.0
6073,21,167.64,62.1,ST,57,160000.0,1000.0,Right,1,3,3,Medium/ Medium,Normal,264000.0,67.0,RES,0,,33,57,49,53,50,65,43,29,42,63,66,58,63,48,74,61,65,49,49,53,13,55,62,16,14,17,0.0
6074,19,181.0,74.8,RB,57,190000.0,1000.0,Right,1,3,3,Medium/ Medium,Normal,537000.0,74.0,RES,0,,58,29,46,45,27,50,33,29,21,55,60,62,54,57,65,23,61,62,55,20,55,33,35,52,57,60,0.0
6075,23,182.88,79.8,"LB,CB",57,120000.0,1000.0,Left,1,2,2,Medium/ Medium,Normal,174000.0,60.0,RB,0,,48,23,52,49,29,55,28,24,45,58,67,67,61,48,60,36,69,64,69,28,54,43,31,59,58,55,0.0
6076,22,170.18,73.9,ST,57,160000.0,2000.0,Right,1,3,2,Medium/ Medium,Normal,312000.0,62.0,SUB,0,,38,59,49,47,36,63,31,33,30,53,81,80,84,53,84,45,75,59,58,46,23,49,59,26,16,17,0.0
6077,19,170.18,73.0,LM,57,210000.0,2000.0,Right,1,3,2,High/ Medium,Lean,488000.0,72.0,SUB,0,,55,53,44,58,46,59,48,43,54,58,66,67,58,38,78,59,42,54,56,40,26,50,62,34,31,28,0.0
6078,17,175.26,59.9,ST,57,210000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,515000.0,68.0,SUB,0,,31,62,49,45,52,57,39,30,31,59,79,74,85,52,81,49,73,52,34,57,14,45,62,17,19,13,0.0
6080,19,170.18,69.9,"CDM,CM",57,190000.0,2000.0,Right,1,3,2,Medium/ Medium,Lean,432000.0,67.0,RES,0,,49,37,49,59,38,51,39,46,56,53,72,68,55,58,72,49,61,52,49,42,58,56,48,53,57,53,0.0
6084,20,182.88,72.1,"RW,RB",57,180000.0,1000.0,Right,1,3,3,High/ Medium,Lean,351000.0,64.0,SUB,0,,61,46,22,47,42,58,52,48,35,52,79,85,67,51,56,51,43,46,45,48,51,57,37,36,42,38,0.0
6085,23,181.0,69.9,"ST,RM,LW",57,150000.0,3000.0,Right,1,3,2,Medium/ Medium,Normal,353000.0,66.0,SUB,0,,56,57,65,41,45,64,38,34,29,42,72,71,79,59,69,47,73,58,57,49,13,64,65,30,16,20,0.0
6086,20,175.26,69.9,LB,57,130000.0,1000.0,Left,1,3,3,Medium/ Medium,Normal,228000.0,61.0,SUB,0,,57,32,54,58,38,50,44,39,54,52,62,60,60,54,62,44,58,54,59,38,51,48,42,52,60,60,0.0
6087,21,175.26,69.9,"LB,CDM",57,160000.0,1000.0,Left,1,3,2,Medium/ Medium,Stocky,232000.0,66.0,RES,0,,47,39,51,62,36,48,44,40,54,54,69,68,60,52,73,62,64,65,61,40,50,44,42,57,47,56,0.0
6088,18,178.5,72.1,RB,57,180000.0,1000.0,Right,1,3,3,Medium/ Medium,Normal,392000.0,61.0,SUB,0,,54,32,48,58,45,52,52,32,57,55,63,62,61,57,62,46,52,56,54,35,55,49,39,56,55,56,0.0
6089,19,185.42,81.2,ST,57,220000.0,2000.0,Right,1,3,2,Medium/ Low,Normal,,70.0,RES,0,,29,60,70,53,48,53,40,31,26,57,46,56,46,47,56,52,66,55,62,53,18,51,66,15,25,22,0.0
6090,20,175.26,69.9,"RWB,RB",57,200000.0,5000.0,Right,1,3,3,High/ Medium,Lean,505000.0,76.0,SUB,0,,47,29,33,56,31,61,36,36,54,62,77,74,71,55,75,36,64,59,42,32,54,51,36,50,53,52,0.0
6091,25,181.0,74.8,CM,57,140000.0,1000.0,Right,1,3,2,Medium/ Medium,Normal,186000.0,67.0,SUB,0,,50,48,52,60,42,55,48,36,61,58,69,67,62,50,65,64,55,64,59,54,49,48,42,47,49,48,0.0
6092,23,178.5,73.9,RM,57,160000.0,2000.0,Right,1,3,2,Medium/ Medium,Lean,264000.0,64.0,SUB,0,,55,60,40,51,46,64,58,39,40,61,68,73,64,43,71,70,45,45,54,40,16,49,56,45,25,26,0.0
6093,21,170.18,68.0,"CAM,CM",57,200000.0,4000.0,Left,1,3,3,Medium/ Medium,Lean,,64.0,SUB,0,,47,47,27,56,38,62,45,44,49,56,74,74,80,41,75,48,62,51,35,50,37,58,52,30,31,30,0.0
6094,23,172.72,64.0,RM,57,140000.0,1000.0,Right,1,3,3,Medium/ Medium,Lean,200000.0,65.0,LM,0,,58,49,33,55,47,57,41,37,45,55,77,73,75,37,82,56,42,60,39,42,19,49,55,28,30,30,0.0
6095,20,178.5,68.0,RB,57,170000.0,2000.0,Right,1,2,2,Medium/ Medium,Lean,395000.0,71.0,RES,0,,37,25,57,53,31,50,30,32,45,46,67,69,56,52,70,41,70,60,50,30,56,33,40,55,62,60,0.0
6096,21,178.5,64.9,LB,57,200000.0,1000.0,Left,1,2,2,Medium/ Medium,Normal,395000.0,64.0,SUB,0,,44,31,53,26,43,52,35,39,27,34,64,68,59,56,71,30,65,77,59,28,58,42,40,55,62,61,0.0
6098,22,172.72,68.0,"RM,RB,CDM",57,180000.0,1000.0,Right,1,2,2,Medium/ High,Lean,351000.0,64.0,SUB,0,,42,49,44,57,31,57,44,40,51,58,74,68,75,59,79,52,61,72,66,29,51,48,40,56,53,55,0.0
6099,26,185.42,74.8,ST,57,130000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,192000.0,69.0,SUB,0,,50,55,54,62,46,49,37,32,57,53,60,61,50,51,60,60,51,64,74,50,35,47,54,42,59,26,0.0
6100,24,181.0,76.2,ST,57,140000.0,2000.0,Right,1,3,3,Medium/ Low,Lean,256000.0,66.0,SUB,0,,40,57,56,51,43,48,31,33,35,50,72,71,61,56,60,51,72,73,60,43,22,48,56,26,25,37,0.0
6101,19,182.88,74.8,ST,57,220000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,523000.0,67.0,LM,0,,29,62,56,45,47,51,39,28,30,56,75,64,51,53,61,49,65,56,39,52,16,50,60,21,12,12,0.0
6102,20,185.42,72.1,"ST,LM",57,200000.0,1000.0,Right,1,3,2,High/ Medium,Lean,375000.0,65.0,SUB,0,,50,51,48,45,34,52,34,33,40,49,87,88,71,63,68,47,68,55,66,45,28,49,46,34,11,17,0.0
6103,23,185.42,78.0,RB,57,120000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,159000.0,64.0,SUB,0,,53,34,44,49,27,48,28,25,37,55,72,73,72,53,61,29,63,82,71,37,49,34,32,51,56,47,0.0
6104,23,175.26,64.0,"LM,CM",57,160000.0,2000.0,Right,1,3,2,Medium/ High,Lean,376000.0,63.0,SUB,0,,52,52,49,55,39,55,33,32,52,56,62,75,77,61,76,50,79,53,71,47,49,55,40,41,37,38,0.0
6105,29,175.26,71.2,LB,57,80000.0,1000.0,Left,1,2,2,Medium/ Medium,Normal,108000.0,60.0,SUB,0,,50,21,41,51,25,50,32,29,47,48,68,63,66,47,70,33,59,70,78,25,50,39,33,68,58,60,0.0
6107,20,175.26,66.2,"CM,RM",57,150000.0,1000.0,Right,1,2,2,Medium/ Medium,Lean,218000.0,64.0,RCM,0,,51,49,37,58,41,56,39,37,54,62,67,62,65,59,68,56,69,66,53,56,42,52,51,44,50,23,0.0
6109,22,185.42,78.9,CB,57,150000.0,1000.0,Right,1,3,2,Low/ Medium,Normal,240000.0,69.0,SUB,0,,28,29,55,37,28,28,27,30,34,44,48,53,44,54,52,43,68,55,72,33,53,28,33,57,59,49,0.0
6110,18,178.5,68.0,ST,57,210000.0,3000.0,Right,1,2,2,Medium/ Low,Lean,530000.0,75.0,RES,0,,43,56,61,54,41,53,47,43,42,55,62,55,58,58,69,54,63,32,47,55,22,57,65,15,20,20,0.0
6111,19,181.0,69.9,"LW,CF",57,220000.0,4000.0,Right,1,2,3,Medium/ Medium,Lean,,68.0,RES,0,,50,60,42,50,52,65,52,45,42,63,62,68,65,40,68,66,47,52,48,49,25,52,69,31,35,39,0.0
6112,20,185.42,72.1,LB,57,160000.0,1000.0,Left,1,3,2,Medium/ High,Normal,280000.0,57.0,LB,0,,53,39,56,54,30,55,48,30,50,55,61,57,58,52,52,42,69,62,56,33,54,36,43,55,58,54,0.0
6113,21,181.0,72.1,"RB,RWB",57,180000.0,1000.0,Right,1,3,2,High/ Medium,Lean,455000.0,70.0,SUB,0,,43,24,43,45,28,58,31,31,31,53,75,73,73,52,67,26,61,58,57,22,53,33,36,55,59,62,0.0
6114,21,172.72,60.8,"CM,LM",57,180000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,351000.0,68.0,SUB,0,,52,32,34,63,36,57,49,38,55,58,61,69,71,57,69,28,60,55,46,35,49,61,48,44,53,50,0.0
6116,19,175.26,64.9,LB,57,190000.0,2000.0,Left,1,2,2,Medium/ Medium,Lean,480000.0,72.0,SUB,0,,54,31,43,51,27,54,32,30,43,46,71,70,63,55,67,24,59,59,48,30,58,32,42,49,59,56,0.0
6117,18,175.26,68.9,LB,57,150000.0,1000.0,Left,1,2,2,Medium/ Medium,Normal,248000.0,67.0,RES,0,,56,38,52,57,28,55,45,35,45,57,72,72,80,50,74,56,65,35,42,43,52,44,38,55,61,61,0.0
6118,25,175.26,64.0,"LM,LB",57,130000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,185000.0,64.0,LB,0,,55,51,34,57,45,53,45,37,50,51,66,69,79,54,76,46,47,72,58,31,50,52,55,45,58,58,0.0
6119,20,182.88,72.1,"CDM,CM,CB",57,140000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,322000.0,75.0,RES,0,,37,54,46,61,33,60,33,39,65,64,58,60,56,50,64,46,61,47,52,31,48,64,57,52,50,56,0.0
6121,20,182.88,69.9,"ST,RW,LW",57,170000.0,1000.0,Right,1,3,3,High/ Medium,Lean,281000.0,63.0,SUB,0,,34,56,46,46,41,63,49,55,42,55,80,81,73,56,72,52,64,65,60,53,49,54,56,45,41,32,0.0
6122,24,185.42,72.1,"CM,CDM",57,130000.0,2000.0,Right,1,3,2,Medium/ Medium,Lean,237000.0,61.0,SUB,0,,46,49,46,59,36,53,45,40,56,57,67,71,69,57,67,48,70,71,72,42,51,53,43,49,49,45,0.0
6123,19,181.0,79.8,ST,57,220000.0,4000.0,Right,1,3,2,Medium/ Medium,Normal,556000.0,77.0,RES,0,,33,57,53,46,44,56,39,29,33,55,74,72,68,49,65,60,66,62,58,50,30,43,55,20,24,20,0.0
6124,20,172.72,69.9,"LB,LM",57,200000.0,4000.0,Left,1,3,3,High/ Medium,Lean,,61.0,SUB,0,,55,33,48,47,29,58,33,30,42,54,68,67,60,57,72,44,56,60,48,26,53,51,34,52,55,54,0.0
6125,22,185.42,78.0,CB,57,160000.0,4000.0,Right,1,3,2,Medium/ Medium,Normal,336000.0,76.0,RES,0,,30,27,48,40,35,50,28,25,29,42,53,50,57,52,53,35,54,60,71,36,56,34,34,58,59,57,0.0
6126,17,187.96,84.8,"CDM,CM",57,210000.0,1000.0,Right,1,3,2,Medium/ High,Lean,515000.0,67.0,SUB,0,,55,35,47,58,32,60,40,40,60,58,72,74,68,55,65,60,60,68,74,41,48,46,44,50,53,58,0.0
6127,18,181.0,74.8,"LM,CAM",57,210000.0,3000.0,Left,1,3,3,Medium/ Medium,Lean,530000.0,76.0,RES,0,,57,39,47,61,41,55,54,45,61,52,67,63,65,54,65,57,52,55,55,50,46,55,50,48,50,49,0.0
6128,24,178.5,68.9,"CAM,RM,LM",57,150000.0,1000.0,Right,1,3,2,Medium/ Medium,Normal,218000.0,67.0,RES,0,,48,56,41,50,48,60,46,47,52,61,74,71,60,49,66,54,67,61,60,56,43,51,49,32,38,40,0.0
6129,29,181.0,73.9,LB,57,80000.0,2000.0,Left,1,2,2,Medium/ Medium,Normal,172000.0,66.0,SUB,0,,53,22,48,59,27,52,38,33,53,53,69,68,66,54,66,29,58,63,79,28,56,53,31,55,54,52,0.0
6130,22,187.96,78.0,"ST,LW",57,170000.0,2000.0,Right,1,2,2,Medium/ Medium,Lean,,65.0,SUB,0,,31,54,37,60,52,67,38,24,33,60,68,71,42,37,59,63,37,49,60,57,15,55,38,30,17,13,0.0
6131,22,178.5,64.9,"CM,RM",57,180000.0,1000.0,Right,1,3,2,High/ High,Lean,351000.0,64.0,SUB,0,,50,43,47,62,44,57,62,60,59,60,66,58,62,54,69,55,56,69,45,48,24,60,49,45,43,44,0.0
6132,29,178.5,69.9,CB,57,,,Right,1,3,2,Low/ Medium,Normal,,,,0,,27,19,60,41,35,32,30,29,32,38,55,41,48,49,55,60,73,58,71,31,60,28,49,51,55,58,0.0
6133,24,178.5,74.8,"RM,CAM",57,140000.0,1000.0,Right,1,3,2,Medium/ Medium,Normal,186000.0,61.0,LM,0,,41,46,25,55,42,53,47,37,48,60,70,69,67,59,65,54,71,73,59,55,23,58,33,42,19,17,0.0
6134,23,178.5,69.9,"ST,RW,LW",57,150000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,293000.0,62.0,LM,0,,30,59,51,50,43,56,41,28,28,54,74,62,59,56,70,54,61,55,53,58,16,43,68,12,16,12,0.0
6137,18,170.18,60.8,"ST,CM",57,220000.0,1000.0,Left,1,2,2,Medium/ Low,Lean,704000.0,73.0,RES,0,,32,59,59,48,41,62,41,37,35,58,71,72,50,53,87,57,61,50,35,52,16,44,63,21,13,19,0.0
6138,25,182.88,74.8,"CB,RB",57,140000.0,1000.0,Right,1,2,2,Medium/ Medium,Normal,329000.0,63.0,SUB,0,,27,19,50,46,27,27,24,25,30,32,63,61,50,49,69,37,66,73,58,21,58,31,40,64,61,58,0.0
6139,24,175.26,68.0,"CM,LB",57,140000.0,3000.0,Left,1,3,2,Medium/ Medium,Normal,259000.0,67.0,RES,0,,54,55,43,63,44,61,60,39,62,62,62,64,63,54,84,56,63,49,60,39,48,51,55,46,48,47,0.0
6140,17,175.26,72.1,ST,57,230000.0,4000.0,Right,1,4,2,High/ Medium,Lean,656000.0,83.0,RES,0,,35,61,48,50,50,52,53,48,45,58,77,73,68,50,61,55,69,48,48,50,16,51,55,17,23,14,0.0
6141,20,178.5,68.0,ST,57,220000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,523000.0,65.0,RES,0,,51,57,46,45,60,53,44,48,34,54,75,72,77,57,68,57,75,58,54,52,18,41,66,18,18,11,0.0
6142,19,175.26,74.8,CM,57,220000.0,1000.0,Left,1,3,2,Medium/ Medium,Lean,413000.0,63.0,SUB,0,,46,42,42,60,39,61,46,44,61,61,69,64,68,56,74,47,67,55,58,45,50,53,49,51,46,50,0.0
6143,18,182.88,78.0,ST,57,180000.0,1000.0,Right,1,3,2,Medium/ Medium,Lean,428000.0,65.0,SUB,0,,59,57,53,45,43,52,42,41,38,58,71,68,62,53,66,61,65,58,58,51,23,51,70,31,23,21,0.0
6144,19,175.26,68.9,"LB,LM",57,150000.0,1000.0,Left,1,3,2,High/ Medium,Lean,225000.0,70.0,RES,0,,58,31,34,61,48,59,39,59,58,53,74,72,65,49,59,65,57,68,65,37,48,48,35,49,58,50,0.0
6145,20,178.5,68.0,"CDM,CB,RB",57,200000.0,4000.0,Right,1,3,2,Medium/ High,Lean,495000.0,83.0,RES,0,,48,41,53,60,36,51,47,43,52,51,66,58,57,45,61,60,65,65,58,35,56,54,49,54,60,57,0.0
6146,21,175.26,59.0,"CAM,RM,LM",57,170000.0,1000.0,Left,1,3,2,Medium/ Medium,Lean,247000.0,67.0,SUB,0,,38,36,49,59,32,63,41,30,55,58,80,79,79,53,77,53,61,66,39,34,35,43,34,38,56,44,0.0
6147,18,181.0,74.8,"CAM,CM",57,210000.0,1000.0,Right,1,3,2,Medium/ Medium,Normal,467000.0,70.0,SUB,0,,48,55,35,60,42,58,49,61,58,61,62,55,56,44,64,61,49,52,62,58,39,53,46,34,49,44,0.0
